개방자치단체코드,관리번호,인허가일자,폐업일자,open_day,영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,데이터갱신구분,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수
3050000,3050000-101-2000-11837,2000.6.20,,36697,영업/정상,1,영업,222456317,15.74,130845,서울특별시 동대문구 장안동 433-13 ,"서울특별시 동대문구 천호대로85길 31, 1층 (장안동)",2644,마라에 꼬치다,U,"외국음식전문점(인도,태국등)",205814.5192,451241.0435,"외국음식전문점(인도,태국등)",0
3050000,3050000-101-2012-00046,2012.3.20,,40988,영업/정상,1,영업,02 22131351,56.4,130837,서울특별시 동대문구 장안동 167-32 ,서울특별시 동대문구 한천로24길 24 (장안동),2626,잇선,U,"외국음식전문점(인도,태국등)",205796.5895,451995.4107,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2012-00295,2012.11.20,,41233,영업/정상,1,영업,,46.51,130850,서울특별시 동대문구 전농동 32-4 전농하우스스토리 1층 107호,"서울특별시 동대문구 사가정로 122, 1층 107호 (전농동, 전농하우스스토리)",2531,포앤라이스(PHO&RICE),U,베트남식,205102.8749,452765.709,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2014-00154,2014.5.20,2017.6.26,1133,폐업,2,폐업,,23.52,130872,서울특별시 동대문구 회기동 13-1번지 1층 ,"서울특별시 동대문구 경희대로4길 18, 1층 (회기동)",2453,찡찡타이,I,"외국음식전문점(인도,태국등)",204653.7678,454442.499,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2015-00212,2015.7.20,2021.3.24,2074,폐업,2,폐업,,16.5,130872,서울특별시 동대문구 회기동 57-5 ,"서울특별시 동대문구 회기로25길 15, 1층 (회기동)",2452,마미스디시(Mommy's dish),U,"외국음식전문점(인도,태국등)",204800.309,454303.3598,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2015-00260,2015.9.20,,42267,영업/정상,1,영업,,35,130876,서울특별시 동대문구 휘경동 183-243 ,"서울특별시 동대문구 이문로 46, 1층 (휘경동)",2445,커리146(CURRY146),U,"외국음식전문점(인도,태국등)",204973.2295,454345.9803,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2015-00278,2015.9.20,2018.10.10,1116,폐업,2,폐업,02 9688952,132,130851,서울특별시 동대문구 전농동 591-53번지 ,"서울특별시 동대문구 왕산로 214, 3층 309호 (전농동, 청량리역사)",2555,타이101,U,"외국음식전문점(인도,태국등)",204081.2821,453187.3952,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2015-00328,2015.11.20,,42328,영업/정상,1,영업,,20,130-831,서울특별시 동대문구 이문동 325-51,서울특별시 동대문구 휘경로2길 40 (이문동),2440,팅키 케이크(TINKY CAKE),U,"외국음식전문점(인도,태국등)",205228.7129,454684.8521,,
3050000,3050000-101-2015-00356,2015.11.20,2019.6.19,1307,폐업,2,폐업,,33,130851,"서울특별시 동대문구 전농동 591-53번지 청량리역,롯데백화점 ","서울특별시 동대문구 왕산로 214, 지하2층 (전농동, 롯데백화점 청량리점)",2555,타이앤 믹스,U,"외국음식전문점(인도,태국등)",204081.2821,453187.3952,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2015-00365,2015.12.20,2022.12.26,2563,폐업,2,폐업,,20,130872,서울특별시 동대문구 회기동 57-5,"서울특별시 동대문구 회기로25길 15, 1층 (회기동)",2452,첨밀밀,U,"외국음식전문점(인도,태국등)",204800.309,454303.3598,,
3050000,3050000-101-2017-00344,2017.12.20,2020.8.26,980,폐업,2,폐업,,286,130812,서울특별시 동대문구 신설동 101-5 ,"서울특별시 동대문구 천호대로 3, 1층 (신설동)",2582,푸드테이블,U,"외국음식전문점(인도,태국등)",202081.8648,452565.4088,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00011,2018.1.20,2021.4.5,1171,폐업,2,폐업,,97.61,130805,서울특별시 동대문구 답십리동 496-17 ,"서울특별시 동대문구 천호대로 269, 2층 202호 (답십리동)",2603,포102베트남쌀국수,U,베트남식,204501.3656,451744.1493,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00019,2018.2.20,,43151,영업/정상,1,영업,,33,130050,서울특별시 동대문구 회기동 346-16번지 ,"서울특별시 동대문구 경희대로4길 72, 1층 (회기동)",2452,하카타,U,"외국음식전문점(인도,태국등)",204898.3706,454323.8997,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00104,2018.4.20,,43210,영업/정상,1,영업,,120.96,130-846,서울특별시 동대문구 장안동 463-10 장안동 우성4차 아파트,"서울특별시 동대문구 천호대로85길 26-4, 101호 (장안동, 장안동 우성4차 아파트)",2644,미스사이공장안점,U,베트남식,205821.4004,451169.5505,,
3050000,3050000-101-2018-00203,2018.8.20,2023.1.12,1606,폐업,2,폐업,,40.18,130805,서울특별시 동대문구 답십리동 530-15 현대썬앤빌 청계,"서울특별시 동대문구 고미술로 71, 1층 101호 (답십리동, 현대썬앤빌 청계)",2604,아라기,U,"외국음식전문점(인도,태국등)",204802.8845,451543.4947,,
3050000,3050000-101-2018-00209,2018.8.20,2019.6.18,302,폐업,2,폐업,,21.45,130863,서울특별시 동대문구 제기동 122-427번지 ,"서울특별시 동대문구 고산자로56길 14-1, 1층 (제기동)",2466,베트남집밥,U,베트남식,203294.2268,454005.507,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00312,2018.11.20,,43424,영업/정상,1,영업,,52.06,130882,서울특별시 동대문구 답십리동 21-8번지 ,"서울특별시 동대문구 전농로 36, 1층 104호 (답십리동)",2615,베쌀집&샤브샤브,U,베트남식,205004.3754,451748.8047,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00321,2018.11.20,,43424,영업/정상,1,영업,,79.22,130872,서울특별시 동대문구 회기동 42-56번지 ,"서울특별시 동대문구 경희대로1가길 16, 1층 (회기동)",2454,서선생(先生)묵은지,U,"외국음식전문점(인도,태국등)",204487.5454,454456.626,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2018-00332,2018.11.20,,43424,영업/정상,1,영업,,44.08,130-820,서울특별시 동대문구 용두동 112-26,"서울특별시 동대문구 무학로36길 24, 1층 (용두동)",2584,닭한마리칼국수,U,"외국음식전문점(인도,태국등)",202744.1838,452784.5413,,
3050000,3050000-101-2019-00009,2019.1.20,,43485,영업/정상,1,영업,,37.34,130843,서울특별시 동대문구 장안동 399-31 ,"서울특별시 동대문구 천호대로77길 110, 1층 (장안동)",2630,베트남 테이블,U,베트남식,205602.7276,451570.0564,"외국음식전문점(인도,태국등)",
3050000,3050000-101-2019-00115,2019.4.20,2022.5.19,1125,폐업,2,폐업,,75,130872,서울특별시 동대문구 회기동 42-73,"서울특별시 동대문구 회기로13길 24, 지하1층 (회기동)",2454,일폐이중국전통요리,U,"외국음식전문점(인도,태국등)",204451.7574,454472.9542,,
3050000,3050000-101-2019-00159,2019.5.20,,43605,영업/정상,1,영업,,232.2,130817,서울특별시 동대문구 용두동 39-61,"서울특별시 동대문구 천호대로35길 65, 1,2층 (용두동)",2562,용두 시네마,U,"외국음식전문점(인도,태국등)",203660.0094,452656.8525,,
3050000,3050000-101-2020-00002,2020.1.20,,43850,영업/정상,1,영업,,62,130-878,서울특별시 동대문구 휘경동 294-163,"서울특별시 동대문구 망우로18다길 19, 지하1층 (휘경동)",2498,고래한입피자 휘경점,U,"외국음식전문점(인도,태국등)",205307.7212,453796.3847,,
3050000,3050000-101-2020-00016,2020.1.20,,43850,영업/정상,1,영업,,56,130-854,서울특별시 동대문구 전농동 204-221,"서울특별시 동대문구 전농로19길 22, 1층 (전농동)",2546,팟타이킹sg35asia,U,"외국음식전문점(인도,태국등)",204875.6249,452866.4992,,
3050000,3050000-101-2022-00404,2022.12.20,2023.8.7,230,폐업,2,폐업,,65,130-050,서울특별시 동대문구 회기동 346-29,"서울특별시 동대문구 이문로 39, 2층 (회기동)",2452,지어앤Choen,U,"외국음식전문점(인도,태국등)",204922.4528,454316.5617,,
3050000,3050000-101-2023-00346,2023.9.20,,45189,영업/정상,1,영업,,52.87,130-878,서울특별시 동대문구 휘경동 281-17,"서울특별시 동대문구 망우로12가길 10, 1층 (휘경동)",2497,홍이가,U,"외국음식전문점(인도,태국등)",205206.7555,454038.4745,,